target,f1,f2,f3,f4,f5,f6
27.4,47.2,40.2,-16,13,7.9,31.7
15.6,40.6,21.9,-11.5,20,5.4,16.5
23.6,47.7,27.9,-12.6,46,6.7,22.4
38.9,82.7,95.5,-28.5,26,13.8,55.4
44.5,71,141.5,-23.8,85,12,80.9
49.9,70.2,73.4,-17,22,9.5,42.7
26.6,86.2,249.5,-32,35,15.7,151.9
28.1,92.4,392.5,-25.9,15,19.6,188.5
0,122.8,597.4,-51,56,24.9,282.6
43.2,141.7,1409.5,-14.1,82,31.5,584.4
0,70.7,153.4,-30,81,13.3,84.7
45.2,107.7,285.2,-37.3,61,21.4,146.9
0,102.6,666.7,-60.5,97,20.7,304.8
0,64.1,97,-26.9,59,10.4,65.2
43.4,87.7,115.2,-32.7,44,15.6,65.4
32.2,97.6,519.6,-25.1,16,18.8,259.9
25,152.1,903.1,-22.8,53,22.3,205.9
0,66.3,64.9,-19.2,23,10,48.5
0,78.4,55.5,-26.6,41,12.6,37.1
0,107.9,1038.5,-47.1,85,23.7,480.4
0,73.5,139.8,-31.2,24,12.6,76.5
32.2,155.6,1101.2,-63.8,38,32.2,461.9
20.3,50.9,42.7,-15.2,10,7.9,31.7
29.6,38.4,14.3,-6.1,32,4,10
36.8,154.4,1449.7,-58,170,30.8,605.7
16.3,133.5,402.2,-17.6,43,23.4,158.1
0,186.1,3005.5,-123.9,73,46.4,1082.9
28.9,120.2,1152.5,-20.2,47,23.5,490.5
0,231,2802.8,-132.2,264,46.5,874.1
21.4,83.3,95,-28.7,97,13,49
38.7,119.8,460.7,-55.4,49,27.3,206.1
35.1,180.7,1610.3,-88.3,91,38.8,629
0,130.7,1518.1,-64.5,66,28.4,650.6
33.4,192.5,1624.9,-106,88,38.8,629
0,192.2,2058.1,-107,61,39,674.1
19.2,97.1,338.7,-27.3,56,23.4,158.1
41.2,49.1,28.4,-12.1,47,6.7,22.4
32.2,128.9,605.3,-47.8,25,24.7,275.4
25.9,107.2,380.6,-41.6,129,20.5,175.1
36.2,109.9,860.4,-29.6,18,22,345
35.1,37.4,14.4,-6.3,33,4,10
0,59.9,48.1,-19.4,18,11.1,34.5
0,203.1,2917.2,-116.9,242,48.7,1097.8
0,128.9,1710.2,-68.2,63,29.9,733.4
26,74.8,141.5,-23,90,12,80.9
0,170.8,946.2,-85,92,36.5,363.3
47.9,98.8,408.5,-27.2,60,15.9,218.1
26.3,53.8,41.8,-15,122,8.8,31.8
36.7,94.5,276.6,-29.8,101,15.8,140.3
24,73.3,92.8,-32.1,21,13.8,55.4
48,240,4569.5,-120,51,48.3,1550.5
49.8,106.7,266,-33.1,28,17.4,141.5
12.9,110.6,688.8,-52.5,148,24.7,337.3
24,163.1,1157.7,-42.6,55,27.1,442.6
30.6,94.3,389.6,-42.9,20,19.3,211.8
37.8,96.7,330.3,-34,87,17.6,192.2
46.8,126.3,725.6,-55.4,47,26.2,321.1
33.9,203.7,1934.9,-49,93,40.3,674.6
24.5,170.2,1648.1,-73.7,65,35.2,674.4
0,127.7,708.4,-57.3,29,21,289.4
0,52.1,41.9,-21.2,15,8.8,31.8
28,137.7,509,-40.4,47,23.4,246.4
0,206.8,2441.5,-61.4,48,36.8,502.5
24.5,238.5,4696.7,-108,59,48.3,1550.5
29.4,95.6,121.2,-26.3,92,13.6,61.9
19.2,209.1,1630.1,-87.3,93,44.9,553.7
0,67.7,73.3,-23.4,57,10.8,51.7
0,87.5,274,-45.6,13,14.2,125.5
43.3,101.1,279.3,-27.4,76,15.8,140.3
26.2,176.8,1740.8,63,66,40.3,674.6
46.6,131.2,784.9,-50.4,63,27.2,353.9
39.5,69.1,40.9,-22.9,70,10.1,24.9
0,102,433.1,-49.7,33,19.9,206.1
26,140.3,925.9,-55.8,50,25.4,388.5
49.5,79.8,75.9,-16.9,161,10.9,48.6
40,111.8,182.6,-33.3,55,17.2,97.3
0,83.7,265.7,-36.2,28,16.5,152.4
43.8,97.8,367.5,-30.6,41,19.6,199.7
0,147,932.3,-57.4,47,31.1,380.2
30.5,110,873.3,-23.9,14,22,345
39.7,57.6,111.2,-19.2,21,10.2,76.4
29.5,75.1,142,-23.5,82,12,80.9
0,111.7,487.4,-59.8,176,23.3,232.5
0,82.5,227.4,-18.1,23,13.8,120.6
37.4,68,140.6,-15.3,12,9.6,80.4
45.5,131.3,597.8,-36.4,71,22.3,282.2
